Positive Score,Negative Score,Polarity Score,Subjectivity Score,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Sentiment_rating
26,14,0.11180051566080978,0.6157037815126051,24.24,20.792079207920793,14.56,24.24,126,606,1.7376237623762376,3,5.608910891089109,Blackassign0013.txt
36,15,0.08903348612172142,0.46272039724980873,14.930555555555555,18.13953488372093,9.76,14.930555555555555,195,1075,1.650232558139535,3,5.453953488372093,Blackassign0014.txt
57,21,0.13922480545248406,0.3844740775097918,19.467741935483872,18.475559237779617,12.71,19.467741935483872,223,1207,1.691797845898923,8,5.752278376139188,Blackassign0015.txt
57,21,0.13922480545248406,0.3844740775097918,19.467741935483872,18.475559237779617,12.71,19.467741935483872,223,1207,1.691797845898923,8,5.752278376139188,Blackassign0016.txt
41,18,0.0894596171802054,0.4552974095621154,16.880597014925375,19.71706454465075,11.82,16.880597014925375,223,1131,1.740053050397878,5,5.751547303271441,Blackassign0017.txt
35,13,0.09982416459944551,0.3108135123303663,21.183673469387756,21.483622350674374,14.5,21.183673469387756,223,1038,1.754335260115607,1,5.858381502890174,Blackassign0018.txt
100,18,0.1827033563144674,0.5140273546755028,17.53125,20.14260249554367,11.14,17.53125,339,1683,1.7064765300059417,4,5.609625668449198,Blackassign0019.txt
21,3,0.19445412311265972,0.4828106852497097,19.51851851851852,14.421252371916509,9.85,19.51851851851852,76,527,1.5939278937381405,1,5.246679316888046,Blackassign0020.txt
47,33,0.017792207792207786,0.5677259199134198,19.403846153846153,21.704658077304263,12.41,19.403846153846153,219,1009,1.7809712586719524,7,5.781962338949455,Blackassign0021.txt
23,9,0.04493112947658402,0.5145833333333334,14.821428571428571,16.3855421686747,9.59,14.821428571428571,68,415,1.6,5,5.1493975903614455,Blackassign0022.txt
65,13,0.14827962764052988,0.39789115646258516,20.074626865671643,14.275092936802974,11.7,20.074626865671643,192,1345,1.604460966542751,7,5.228252788104089,Blackassign0023.txt
22,8,0.08625415282392027,0.5838039867109633,23.0,17.934782608695652,14.56,23.0,99,552,1.684782608695652,1,5.4981884057971016,Blackassign0024.txt
30,17,0.07690476190476192,0.43303921568627446,25.425,11.9960668633235,13.19,25.425,122,1017,1.5299901671583087,4,5.006882989183874,Blackassign0025.txt
36,21,0.13522418058132343,0.42674242424242426,18.145833333333332,18.14006888633754,12.11,18.145833333333332,158,871,1.6808266360505166,1,5.484500574052813,Blackassign0026.txt
49,25,0.09310886255061013,0.4503854451912704,23.454545454545453,12.713178294573643,12.56,23.454545454545453,164,1290,1.5093023255813953,26,4.910077519379845,Blackassign0027.txt
49,19,0.10359962667302118,0.42609277572580323,22.583333333333332,18.081180811808117,14.17,22.583333333333332,196,1084,1.650369003690037,10,5.60239852398524,Blackassign0028.txt
83,27,0.13584874813533349,0.4656824442495175,21.9375,21.31054131054131,14.53,21.9375,374,1755,1.803988603988604,1,5.915669515669515,Blackassign0029.txt
55,17,0.08946634099845112,0.4232919099249373,17.897435897435898,13.681948424068768,10.83,17.897435897435898,191,1396,1.5315186246418337,6,5.060888252148997,Blackassign0030.txt
64,31,0.1139626063591581,0.4848088520674728,19.68235294117647,20.800956365809924,13.26,19.68235294117647,348,1673,1.7656903765690377,3,5.628810520023909,Blackassign0031.txt
96,27,0.15410558724050788,0.4809659520373806,17.117021276595743,14.97824735860783,10.33,17.117021276595743,241,1609,1.5618396519577378,17,5.042262274704785,Blackassign0032.txt
71,43,0.05564615008974768,0.5141768749543141,19.813953488372093,16.431924882629108,12.33,19.813953488372093,280,1704,1.6467136150234742,16,5.357394366197183,Blackassign0033.txt
60,22,0.12753189968467743,0.4592135976163754,20.174603174603174,15.499606608969316,12.6,20.174603174603174,197,1271,1.6066089693154997,22,5.277734067663257,Blackassign0034.txt
32,9,0.14322607539519305,0.4137248780631133,15.46808510638298,16.09353507565337,10.38,15.46808510638298,117,727,1.627235213204952,7,5.28060522696011,Blackassign0035.txt
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,Blackassign0036.txt
37,11,0.1923291975881262,0.5783290429808287,19.324324324324323,12.727272727272727,10.91,19.324324324324323,91,715,1.5174825174825175,2,5.030769230769231,Blackassign0037.txt
113,26,0.16966576966576968,0.5368327743327743,25.058823529411764,15.868544600938966,13.97,25.058823529411764,338,2130,1.6126760563380282,11,5.113615023474178,Blackassign0038.txt
79,34,0.11212687095040036,0.4654869458791028,17.267857142857142,16.597724922440538,10.35,17.267857142857142,321,1934,1.640124095139607,1,5.463805584281283,Blackassign0039.txt
48,13,0.13450238095238098,0.41879307359307355,19.79310344827586,21.167247386759584,13.15,19.79310344827586,243,1148,1.78397212543554,10,5.821428571428571,Blackassign0040.txt
40,16,0.10363926185215248,0.379022607022607,14.404761904761905,16.363636363636363,9.86,14.404761904761905,198,1210,1.6173553719008265,7,5.264462809917355,Blackassign0041.txt
66,17,0.15874899238692347,0.3962439170025375,24.984848484848484,14.008489993935719,13.66,24.984848484848484,231,1649,1.5997574287446938,33,5.11885991510006,Blackassign0042.txt
53,31,0.07778310032408395,0.4388612412177987,18.46511627906977,17.947103274559197,11.93,18.46511627906977,285,1588,1.6687657430730478,11,5.420654911838791,Blackassign0043.txt
25,6,0.1730340909090909,0.5444469696969697,22.636363636363637,19.076305220883537,14.02,22.636363636363637,95,498,1.716867469879518,0,5.634538152610442,Blackassign0044.txt
98,32,0.1372277537277537,0.5054421596921596,198.77777777777777,13.135830072666293,83.15,198.77777777777777,235,1789,1.5254332029066517,15,4.869759642258245,Blackassign0045.txt
48,13,0.1735478656364732,0.4512425338374704,16.0,19.188596491228072,10.75,16.0,175,912,1.6984649122807018,0,5.5756578947368425,Blackassign0046.txt
22,8,0.08923455332546243,0.3481267217630854,16.804878048780488,24.528301886792452,11.36,16.804878048780488,169,689,1.83744557329463,1,5.896952104499274,Blackassign0047.txt
13,6,0.09482892586340862,0.39442434959676337,24.416666666666668,22.866894197952217,14.95,24.416666666666668,67,293,1.8156996587030716,2,5.9419795221843,Blackassign0048.txt
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,Blackassign0049.txt
54,50,0.04269923371647508,0.3978983200707338,23.87719298245614,16.017634092578987,13.44,23.87719298245614,218,1361,1.6113152094048493,2,5.282145481263776,Blackassign0050.txt
33,6,0.1583747632575757,0.41487249729437237,23.0,16.269284712482467,13.8,23.0,116,713,1.579242636746143,3,5.150070126227209,Blackassign0051.txt
105,30,0.196656223741716,0.47540522517206496,17.245454545454546,16.552451238798103,9.9,17.245454545454546,314,1897,1.5888244596731682,10,5.084870848708487,Blackassign0052.txt
45,10,0.2697196620583717,0.4932078853046595,15.8,17.246835443037973,11.14,15.8,109,632,1.6835443037974684,4,5.599683544303797,Blackassign0053.txt
9,1,0.14300000000000002,0.44366666666666665,22.8125,12.876712328767123,12.96,22.8125,47,365,1.536986301369863,0,5.271232876712329,Blackassign0054.txt
44,17,0.155660048763497,0.4667232671543016,22.26530612244898,14.57378551787351,12.26,22.26530612244898,159,1091,1.5811182401466544,4,5.206232813932172,Blackassign0055.txt
26,7,0.13233878190774745,0.3917860874757427,23.708333333333332,23.198594024604567,16.72,23.708333333333332,132,569,1.8734622144112478,1,6.070298769771529,Blackassign0056.txt
23,4,0.20986559139784947,0.49403225806451606,13.5,13.756613756613756,9.63,13.5,52,378,1.5714285714285714,0,5.41005291005291,Blackassign0057.txt
